Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
23/06/2011,EQ,1081.80,1101.00,1070.10,1083.50,1098.90,1097.00,1087.67,1246.95,869.00,1214118.00,1320554619.80,33477.00
24/06/2011,EQ,1100.00,1140.75,1099.00,1097.00,1137.00,1137.75,1126.76,1246.95,929.05,2075794.00,2338913330.60,66122.00
27/06/2011,EQ,1122.00,1154.70,1122.00,1137.75,1153.10,1150.60,1145.90,1246.95,930.00,1562609.00,1790594508.05,36210.00
28/06/2011,EQ,1160.00,1162.00,1135.65,1150.60,1153.00,1154.00,1148.87,1246.95,998.95,1066666.00,1225463246.35,41061.00
29/06/2011,EQ,1154.70,1178.90,1154.70,1154.00,1170.00,1169.85,1171.55,1246.95,998.95,1479352.00,1733140252.25,62658.00
30/06/2011,EQ,1169.80,1192.00,1167.00,1169.85,1180.00,1184.20,1179.04,1246.95,998.95,2586458.00,3049524536.25,62175.00
01/07/2011,EQ,1198.00,1198.00,1179.70,1184.20,1191.00,1191.90,1187.59,1246.95,998.95,960420.00,1140585986.15,30833.00
04/07/2011,EQ,1193.00,1200.00,1180.00,1191.90,1182.55,1185.70,1190.26,1246.95,998.95,801867.00,954428863.65,32679.00
05/07/2011,EQ,1189.80,1191.00,1173.40,1185.70,1180.10,1179.45,1181.42,1246.95,1048.40,1030568.00,1217534139.90,30672.00
06/07/2011,EQ,1178.25,1192.90,1171.70,1179.45,1181.90,1182.80,1182.15,1246.95,1048.40,745089.00,880805240.35,41424.00
07/07/2011,EQ,1183.10,1200.00,1183.10,1182.80,1194.00,1195.90,1191.22,1246.95,1048.40,1301317.00,1550154495.05,31664.00
08/07/2011,EQ,1196.00,1205.00,1169.25,1195.90,1172.75,1171.65,1184.88,1246.95,1055.90,1706030.00,2021443839.90,37915.00
11/07/2011,EQ,1170.00,1177.80,1146.60,1171.65,1158.00,1156.65,1159.26,1246.95,765.25,911252.00,1056373453.10,32350.00
12/07/2011,EQ,1135.70,1148.80,1112.10,1156.65,1143.00,1145.35,1139.04,1246.95,765.25,2039702.00,2323310180.95,43525.00
13/07/2011,EQ,1150.00,1168.00,1131.00,1145.35,1153.00,1149.05,1149.57,1246.95,765.25,1976300.00,2271902517.85,74511.00
14/07/2011,EQ,1150.00,1158.60,1119.10,1149.05,1119.20,1123.70,1137.42,1246.95,765.25,3468922.00,3945613635.85,83431.00
15/07/2011,EQ,1168.00,1177.90,1141.10,1123.70,1146.60,1146.05,1154.54,1246.95,765.25,3639850.00,4202337630.95,78431.00
18/07/2011,EQ,1148.00,1152.00,1122.30,1146.05,1123.00,1125.05,1129.94,1246.95,823.25,1562604.00,1765650128.00,67052.00
19/07/2011,EQ,1121.60,1148.15,1120.25,1125.05,1139.95,1140.05,1137.75,1246.95,823.25,1097646.00,1248841269.20,38329.00
20/07/2011,EQ,1150.00,1151.80,1125.00,1140.05,1132.95,1132.45,1133.24,1246.95,823.25,1403873.00,1590918673.15,46558.00
21/07/2011,EQ,1132.00,1132.50,1120.05,1132.45,1124.00,1122.55,1124.75,1246.95,823.25,925312.00,1040745597.05,33166.00
22/07/2011,EQ,1126.75,1141.30,1126.50,1122.55,1131.60,1133.40,1134.51,1246.95,823.25,1045221.00,1185812399.85,30780.00
25/07/2011,EQ,1135.00,1144.00,1123.15,1133.40,1136.65,1139.90,1131.36,1246.95,828.55,2370357.00,2681726399.45,41385.00
26/07/2011,EQ,1139.80,1151.95,1127.25,1139.90,1143.00,1144.65,1140.45,1246.95,828.55,1984361.00,2263066410.95,52350.00
27/07/2011,EQ,1148.95,1154.65,1138.15,1144.65,1145.50,1147.15,1148.07,1246.95,828.55,1012145.00,1162013628.30,44674.00
28/07/2011,EQ,1140.00,1144.90,1120.30,1147.15,1134.35,1129.55,1131.73,1246.95,828.55,2046907.00,2316541981.80,40432.00
29/07/2011,EQ,1133.00,1142.00,1121.65,1129.55,1138.45,1137.00,1135.28,1246.95,828.55,859569.00,975849040.50,31301.00
01/08/2011,EQ,1142.40,1149.90,1125.10,1137.00,1134.00,1135.25,1135.54,1246.95,828.55,991173.00,1125519548.35,41634.00
02/08/2011,EQ,1130.50,1134.00,1122.25,1135.25,1130.00,1130.65,1129.35,1246.95,828.55,1012646.00,1143636294.40,28665.00
03/08/2011,EQ,1120.00,1125.70,1095.35,1130.65,1115.00,1110.35,1111.99,1246.95,828.55,1532123.00,1703712430.95,47849.00
04/08/2011,EQ,1110.05,1119.50,1091.10,1110.35,1097.10,1095.85,1107.90,1246.95,828.55,1524647.00,1689163701.20,31524.00
05/08/2011,EQ,1073.15,1074.00,1028.00,1095.85,1058.90,1057.95,1048.68,1246.95,828.55,2634694.00,2762942479.45,95541.00
08/08/2011,EQ,1011.20,1033.35,996.60,1057.95,1007.05,1005.35,1007.18,1246.95,830.20,3274653.00,3298171242.25,88735.00
09/08/2011,EQ,965.00,985.20,947.70,1005.35,963.60,964.80,965.10,1246.95,830.20,4079635.00,3937254511.60,115137.00
10/08/2011,EQ,999.00,1012.00,973.80,964.80,984.95,984.05,992.98,1246.95,830.20,2974540.00,2953649631.75,70100.00
11/08/2011,EQ,980.00,983.40,963.00,984.05,979.00,978.35,975.53,1246.95,830.20,1450232.00,1414739950.25,43366.00
12/08/2011,EQ,990.55,991.90,937.50,978.35,946.00,947.15,953.57,1246.95,830.20,2084542.00,1987759491.45,64295.00
16/08/2011,EQ,967.00,978.35,956.05,947.15,977.00,973.60,968.49,1246.95,830.20,1491784.00,1444778098.95,43972.00
17/08/2011,EQ,974.50,1009.40,970.00,973.60,1000.00,999.90,996.34,1246.95,830.20,2278946.00,2270614698.20,74899.00
18/08/2011,EQ,1005.90,1009.30,958.00,999.90,965.00,962.35,970.60,1246.95,830.20,1809948.00,1756728414.40,47801.00
19/08/2011,EQ,943.00,946.95,905.00,962.35,936.00,928.95,923.94,1246.95,830.20,2721807.00,2514794953.20,85065.00
22/08/2011,EQ,929.00,930.00,902.00,928.95,916.50,918.05,917.32,1246.95,830.20,1764461.00,1618568365.35,53747.00
23/08/2011,EQ,920.85,988.00,920.35,918.05,983.05,981.60,963.72,1246.95,830.20,2437335.00,2348905691.20,74378.00
24/08/2011,EQ,978.00,978.00,955.00,981.60,966.00,962.60,964.11,1246.95,830.20,1597395.00,1540071840.20,50180.00
